README.mdiso3;year;month;fatalities
ARM;2005;9;
ARM;2005;10;
ARM;2005;11;
ARM;2005;12;
ARM;2006;1;
ARM;2006;2;
ARM;2006;3;1.0
ARM;2006;4;
ARM;2006;5;1.0
ARM;2006;6;
ARM;2006;7;
ARM;2006;8;
ARM;2006;9;
ARM;2006;10;
ARM;2006;11;
ARM;2006;12;
ARM;2007;1;
ARM;2007;2;
ARM;2007;3;
ARM;2007;4;
ARM;2007;5;
ARM;2007;6;
ARM;2007;7;
ARM;2007;8;
ARM;2007;9;
ARM;2007;10;
ARM;2007;11;
ARM;2007;12;
ARM;2008;1;
ARM;2008;2;
ARM;2008;3;
ARM;2008;4;
ARM;2008;5;
ARM;2008;6;
ARM;2008;7;
ARM;2008;8;
ARM;2008;9;
ARM;2008;10;
ARM;2008;11;
ARM;2008;12;
ARM;2009;1;
ARM;2009;2;
ARM;2009;3;
ARM;2009;4;
ARM;2009;5;
ARM;2009;6;
ARM;2009;7;
ARM;2009;8;
ARM;2009;9;
ARM;2009;10;
ARM;2009;11;
ARM;2009;12;
ARM;2010;1;
ARM;2010;2;
ARM;2010;3;
ARM;2010;4;
ARM;2010;5;
ARM;2010;6;
ARM;2010;7;
ARM;2010;8;
ARM;2010;9;
ARM;2010;10;
ARM;2010;11;
ARM;2010;12;
ARM;2011;1;
ARM;2011;2;
ARM;2011;3;
ARM;2011;4;
ARM;2011;5;
ARM;2011;6;
ARM;2011;7;
ARM;2011;8;
ARM;2011;9;
ARM;2011;10;
ARM;2011;11;
ARM;2011;12;
ARM;2012;1;
ARM;2012;2;1.0
ARM;2012;3;2.0
ARM;2012;4;3.0
ARM;2012;5;
ARM;2012;6;3.0
ARM;2012;7;
ARM;2012;8;
ARM;2012;9;
ARM;2012;10;
ARM;2012;11;
ARM;2012;12;
ARM;2013;1;
ARM;2013;2;
ARM;2013;3;
ARM;2013;4;
ARM;2013;5;
ARM;2013;6;
ARM;2013;7;
ARM;2013;8;1.0
ARM;2013;9;
ARM;2013;10;
ARM;2013;11;
ARM;2013;12;
ARM;2014;1;
ARM;2014;2;
ARM;2014;3;
ARM;2014;4;
ARM;2014;5;
ARM;2014;6;
ARM;2014;7;
ARM;2014;8;
ARM;2014;9;
ARM;2014;10;
ARM;2014;11;
ARM;2014;12;
ARM;2015;1;11.0
ARM;2015;2;1.0
ARM;2015;3;
ARM;2015;4;
ARM;2015;5;
ARM;2015;6;
ARM;2015;7;
ARM;2015;8;
ARM;2015;9;4.0
ARM;2015;10;
ARM;2015;11;
ARM;2015;12;
ARM;2016;1;
ARM;2016;2;
ARM;2016;3;
ARM;2016;4;
ARM;2016;5;
ARM;2016;6;
ARM;2016;7;
ARM;2016;8;
ARM;2016;9;
ARM;2016;10;
ARM;2016;11;
ARM;2016;12;4.0
ARM;2017;1;
ARM;2017;2;
ARM;2017;3;
ARM;2017;4;
ARM;2017;5;
ARM;2017;6;
ARM;2017;7;
ARM;2017;8;
ARM;2017;9;
ARM;2017;10;
ARM;2017;11;
ARM;2017;12;
ARM;2018;1;
ARM;2018;2;
ARM;2018;3;
ARM;2018;4;
ARM;2018;5;
ARM;2018;6;
ARM;2018;7;
ARM;2018;8;
ARM;2018;9;1.0
ARM;2018;10;
ARM;2018;11;
ARM;2018;12;
ARM;2019;1;
ARM;2019;2;
ARM;2019;3;
ARM;2019;4;
ARM;2019;5;
ARM;2019;6;
ARM;2019;7;
ARM;2019;8;
ARM;2019;9;
ARM;2019;10;2.0
ARM;2019;11;
ARM;2019;12;
ARM;2020;1;
ARM;2020;2;
ARM;2020;3;
ARM;2020;4;
ARM;2020;5;
ARM;2020;6;
ARM;2020;7;
ARM;2020;8;
ARM;2020;9;2.0
ARM;2020;10;4.0
ARM;2020;11;4.0
ARM;2020;12;
ARM;2021;1;
ARM;2021;2;
ARM;2021;3;
ARM;2021;4;
ARM;2021;5;1.0
ARM;2021;6;
ARM;2021;7;4.0
ARM;2021;8;2.0
ARM;2021;9;1.0
ARM;2021;10;
ARM;2021;11;1.0
ARM;2021;12;1.0
AZE;2003;8;
AZE;2003;9;
AZE;2003;10;
AZE;2003;11;
AZE;2003;12;
AZE;2004;1;
AZE;2004;2;
AZE;2004;3;
AZE;2004;4;
AZE;2004;5;
AZE;2004;6;8.0
AZE;2004;7;
AZE;2004;8;
AZE;2004;9;
AZE;2004;10;
AZE;2004;11;
AZE;2004;12;
AZE;2005;1;1.6813186813186811
AZE;2005;2;0.6153846153846154
AZE;2005;3;8.68131868131868
AZE;2005;4;0.6593406593406593
AZE;2005;5;2.6813186813186816
AZE;2005;6;2.659340659340659
AZE;2005;7;2.021978021978022
AZE;2005;8;1.0
AZE;2005;9;1.0
AZE;2005;10;2.0
AZE;2005;11;
AZE;2005;12;1.0
AZE;2006;1;
AZE;2006;2;
AZE;2006;3;1.0
AZE;2006;4;1.0
AZE;2006;5;
AZE;2006;6;
AZE;2006;7;1.0
AZE;2006;8;2.0
AZE;2006;9;0.0
AZE;2006;10;0.0
AZE;2006;11;
AZE;2006;12;
AZE;2007;1;0.0
AZE;2007;2;1.0
AZE;2007;3;1.0
AZE;2007;4;0.0
AZE;2007;5;0.0
AZE;2007;6;0.0
AZE;2007;7;0.0
AZE;2007;8;5.0
AZE;2007;9;1.0
AZE;2007;10;4.0
AZE;2007;11;0.0
AZE;2007;12;0.0
AZE;2008;1;1.185792349726776
AZE;2008;2;1.109289617486339
AZE;2008;3;13.185792349726777
AZE;2008;4;1.147540983606557
AZE;2008;5;1.185792349726776
AZE;2008;6;2.1475409836065573
